num_slices,accuracy
3,0.5098360655737705
6,0.5639344262295082
9,0.6131147540983607
12,0.6196721311475409
15,0.6409836065573771
18,0.6311475409836066
21,0.6655737704918033
24,0.6639344262295082
27,0.6721311475409836
30,0.6754098360655738
